epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,13962.3,0.99614,2.06108,1.24345,0.49093,0.47978,0.42774,0.20433,2.01478,6.03137,2.08827,0.000396246,0.000396246,0.000396246
156,14050.9,0.97598,2.05219,1.23727,0.47018,0.47643,0.4348,0.21941,1.98018,6.21235,2.06208,0.000387994,0.000387994,0.000387994
157,14141.6,0.99699,1.99937,1.23878,0.53306,0.45303,0.44297,0.21608,2.00302,6.05856,2.10037,0.000379743,0.000379743,0.000379743
158,14232.1,0.99491,2.01284,1.23798,0.5115,0.50833,0.45335,0.20874,1.99936,5.71743,2.08246,0.000371491,0.000371491,0.000371491
159,14321.5,0.99176,2.04629,1.23368,0.49316,0.45211,0.42425,0.19482,2.03619,6.07344,2.13939,0.000363239,0.000363239,0.000363239
160,14414.6,0.97891,2.06207,1.23856,0.49733,0.50019,0.43508,0.19764,2.03399,5.93403,2.12784,0.000354988,0.000354988,0.000354988
161,14504.5,0.96328,1.9909,1.23965,0.51357,0.44801,0.4354,0.20091,2.03297,6.23984,2.15535,0.000346736,0.000346736,0.000346736
162,14596.7,0.99994,2.09566,1.25297,0.50402,0.47038,0.41302,0.18408,2.05319,6.31272,2.15661,0.000338484,0.000338484,0.000338484
163,14686.3,0.98299,2.04904,1.23943,0.4935,0.47684,0.4357,0.19432,2.01581,5.92151,2.09643,0.000330233,0.000330233,0.000330233
164,14775.6,0.98042,2.08075,1.24844,0.53759,0.48149,0.44082,0.20036,2.06768,5.84201,2.15798,0.000321981,0.000321981,0.000321981
165,14866.6,0.95264,1.96417,1.21574,0.49085,0.49517,0.43788,0.2023,2.03052,5.60242,2.15654,0.000313729,0.000313729,0.000313729
166,14955.7,0.96553,1.93747,1.23065,0.47723,0.50149,0.42771,0.20081,2.01348,5.95282,2.12201,0.000305478,0.000305478,0.000305478
167,15045.6,0.96002,2.01367,1.22814,0.4505,0.50621,0.42417,0.20628,1.96423,5.86047,2.08589,0.000297226,0.000297226,0.000297226
168,15136.2,0.94632,1.97534,1.21813,0.4597,0.53915,0.44353,0.20561,2.02888,5.9475,2.14265,0.000288974,0.000288974,0.000288974
169,15227.7,0.9411,1.90832,1.21789,0.53017,0.46214,0.43486,0.20447,2.00579,5.83812,2.13972,0.000280723,0.000280723,0.000280723
170,15317.3,0.99245,2.06004,1.2529,0.46584,0.50621,0.43377,0.1987,2.06591,5.86348,2.19561,0.000272471,0.000272471,0.000272471
171,15407.1,0.96263,1.97838,1.22701,0.43847,0.51562,0.44069,0.20572,2.01475,5.78733,2.15152,0.00026422,0.00026422,0.00026422
172,15500,1.00985,2.08968,1.26969,0.44041,0.51798,0.43393,0.20896,1.98658,5.72978,2.10036,0.000255968,0.000255968,0.000255968
173,15590.6,0.94237,1.92912,1.2048,0.51748,0.49901,0.44756,0.21904,1.91207,5.7139,2.04116,0.000247716,0.000247716,0.000247716
174,15682.2,0.96552,1.98022,1.2229,0.5526,0.49093,0.43941,0.21591,1.94164,5.6548,2.07832,0.000239465,0.000239465,0.000239465
175,15772.2,0.9633,1.99733,1.22076,0.48948,0.52777,0.44087,0.20917,1.95759,5.73954,2.10212,0.000231213,0.000231213,0.000231213
